"DateTime","Price USD","Price BTC","Volume","DateTim","Navigator 5","Navigator 5","Navigator 5"
"2017-02-23 09:38:56",,,,"2017-02-23 09:38:56",1126,46904265873,,165618946,57142857
"2017-03-02 09:38:56",,,,"2017-03-02 09:38:56",1224,2586555811354,,213150943,7142857
"2017-03-09 09:38:56",,,,"2017-03-09 09:38:56",1206,5681051587303,,286214257,85714287
"2017-03-16 09:38:56",,,,"2017-03-16 09:38:56",1164,5177832341267,,457955590,85714287
"2017-03-23 09:38:56",,,,"2017-03-23 09:38:56",1023,9667490252804,,356391668,5714286
"2017-03-30 09:38:56",,,,"2017-03-30 09:38:56",1047,724516369048,,344240083,5714286
"2017-04-06 09:38:56",,,,"2017-04-06 09:38:56",1155,394677579365,,407695531,4285714
"2017-04-13 09:38:56",,,,"2017-04-13 09:38:56",1185,229117063492,,247016970,2857143
"2017-04-20 09:38:56",,,,"2017-04-20 09:38:56",1212,9352033730158,,261902971,14285713
"2017-04-27 09:38:56",,,,"2017-04-27 09:38:56",1288,6260962301583,,350817816,28571427
"2017-05-04 09:38:56",,,,"2017-05-04 09:38:56",1507,4892212301586,,852769744,4285715
"2017-05-11 09:38:56",,,,"2017-05-11 09:38:56",1765,9149206349207,,910677316,8571428
"2017-05-18 09:38:56",,,,"2017-05-18 09:38:56",1881,0308033813121,,921891046,4285715
"2017-05-25 09:38:56",,,,"2017-05-25 09:38:56",2289,5645736237752,,1767029034,142857
"2017-06-01 09:38:56",,,,"2017-06-01 09:38:56",2357,6686904761905,,1382550231,7142856
"2017-06-08 09:38:56",,,,"2017-06-08 09:38:56",2798,3306923497043,,1592262842,5714285
"2017-06-15 09:38:56",,,,"2017-06-15 09:38:56",2610,7498561507928,,1744265705,857143
"2017-06-22 09:38:56",,,,"2017-06-22 09:38:56",2673,083533574439,,1318458716,4285715
"2017-06-29 09:38:56",,,,"2017-06-29 09:38:56",2504,439416905882,,1119488090,142857
"2017-07-06 09:38:56",,,,"2017-07-06 09:38:56",2565,2283152299847,,846362809,8571428
"2017-07-13 09:38:56",,,,"2017-07-13 09:38:56",2274,0595049197277,,1003056636,8571428
"2017-07-20 09:38:56",,,,"2017-07-20 09:38:56",2483,466428571428,,1422654975,142857
"2017-07-27 09:38:56",,,,"2017-07-27 09:38:56",2668,7519004484916,,998793862,2857143
"2017-08-03 09:38:56",,,,"2017-08-03 09:38:56",2892,648630952382,,1132148054,7142856
"2017-08-10 09:38:56",,,,"2017-08-10 09:38:56",3537,995699404762,,1815358472,857143
"2017-08-17 09:38:56",,,,"2017-08-17 09:38:56",4206,570417427133,,2687793090,571429
"2017-08-24 09:38:56",,,,"2017-08-24 09:38:56",4203,124429771618,,2255272531
"2017-08-31 09:38:56",,,,"2017-08-31 09:38:56",4575,351977383715,,2181684129,571429
"2017-09-07 09:38:56",,,,"2017-09-07 09:38:56",4351,997739977106,,2231093553
"2017-09-14 09:38:56",,,,"2017-09-14 09:38:56",3788,970674603174,,2249472843,571429
"2017-09-21 09:38:56",,,,"2017-09-21 09:38:56",3812,49769345238,,1327911033
"2017-09-28 09:38:56",,,,"2017-09-28 09:38:56",4101,819995039683,,1328320299,857143
"2017-10-05 09:38:56",,,,"2017-10-05 09:38:56",4357,590009920636,,1164374132,7142856
"2017-10-12 09:38:56",,,,"2017-10-12 09:38:56",5200,978938492064,,2083347627,7142856
"2017-10-19 09:38:56",,,,"2017-10-19 09:38:56",5747,4709126984135,,2072409934,2857144
"2017-10-26 09:38:56",,,,"2017-10-26 09:38:56",5785,368090277779,,2049953285,5714285
"2017-11-02 09:38:56",,,,"2017-11-02 09:38:56",6845,563229166667,,2861069872,571429
"2017-11-09 09:38:56",,,,"2017-11-09 09:38:56",6955,019191468251,,4274431073,428571
"2017-11-16 09:38:56",,,,"2017-11-16 09:38:56",7271,703440472733,,4674930256,142858
"2017-11-23 09:38:56",,,,"2017-11-23 09:38:56",8343,146671939174,,4201140994,142857
"2017-11-30 09:38:56",,,,"2017-11-30 09:38:56",10452,759091985372,,7183894969,571428
"2017-12-07 09:38:56",,,,"2017-12-07 09:38:56",14011,150466822914,,12698617749,857143
"2017-12-14 09:38:56",,,,"2017-12-14 09:38:56",17547,178174603174,,13506800948,714285
"2017-12-21 09:38:56",,,,"2017-12-21 09:38:56",16184,585692688821,,16768750221,285715
"2017-12-28 09:38:56",,,,"2017-12-28 09:38:56",14558,102827380953,,12553603170,142857
"2018-01-04 09:38:56",,,,"2018-01-04 09:38:56",15473,297172619048,,17618122365,857143
